id,name,state_id,created_at,updated_at
314,Charlotte,230,null,null
315,Phnom Penh,231,null,null
316,Neijiang,65,null,null
317,Quanzhou,83,null,null
318,Kharkiv,232,null,null
319,Hyderabad City,12,null,null
320,Bronx,2,null,null
321,LomAc,233,null,null
322,CArdoba,234,null,null
323,Huainan,175,null,null
324,Doha,235,null,null
325,Kuala Lumpur,236,null,null
326,Maputo,237,null,null
327,Kaduna,238,null,null
328,Gwangju,239,null,null
329,Kawanakajima,75,null,null
330,San Salvador,240,null,null
331,Suining,65,null,null
332,Lyon,241,null,null
333,Karaj,242,null,null
334,Kampala,243,null,null
335,TabrAz,244,null,null
336,The Hague,245,null,null
337,Davao,246,null,null
338,Marseille,247,null,null
339,Meerut,99,null,null
340,Mianyang,65,null,null
341,Semarang,248,null,null
342,FarAdAbAd,249,null,null
343,Novosibirsk,250,null,null
344,Mecca,105,null,null
345,Dubai,251,null,null
346,Milwaukee,252,null,null
347,Auckland,253,null,null
348,MaaEanshan,175,null,null
349,Brazzaville,254,null,null
350,Yiyang,131,null,null
351,VArAnasi,99,null,null
352,Lubumbashi,255,null,null
353,JuA≠rez,256,null,null
354,GhAziAbAd,99,null,null
355,Pretoria,87,null,null
356,Heze,104,null,null
357,Porto,257,null,null
358,AEsansol,8,null,null
359,Lusaka,258,null,null
360,Changzhou,76,null,null
361,Mosul,259,null,null
362,Yekaterinburg,260,null,null
363,Peshawar,185,null,null
364,Mandalay,261,null,null
365,Jamshedpur,262,null,null
366,Mbuji-Mayi,263,null,null
367,Madura,33,null,null
368,Adana,264,null,null
369,Sheffield,265,null,null
370,Jabalpur,176,null,null
371,San JosAc,266,null,null
372,Panama City,267,null,null
373,Nizhniy Novgorod,268,null,null
374,Chifeng,174,null,null
375,Duisburg,196,null,null
376,Munich,269,null,null
377,Huaiyin,76,null,null
378,Stockholm,270,null,null
379,Makassar,271,null,null
380,RAjkot,46,null,null
381,DhanbAd,262,null,null
382,Mudanjiang,81,null,null
383,Geneva,272,null,null
384,ShArAz,273,null,null
385,Huzhou,107,null,null
386,Beidao,134,null,null
387,Shuangshui,78,null,null
388,DAsseldorf,196,null,null
389,Gaozhou,24,null,null
390,Sevilla,274,null,null
391,Amritsar,37,null,null
392,Vila Velha,200,null,null
393,Almaty,276,null,null
394,Providence,277,null,null
395,Warangal,40,null,null
396,Rosario,278,null,null
397,AllahAbAd,99,null,null
398,Benin City,279,null,null
399,Jining,104,null,null
400,MaceiA,280,null,null
401,Sofia,281,null,null
402,Abbottabad,185,null,null
403,Benghazi,282,null,null
404,Cilacap,248,null,null
405,Prague,283,null,null
406,Glasgow,284,null,null
407,Leshan,65,null,null
408,Jacksonville,39,null,null
409,Ouagadougou,208,null,null
410,Ottawa,50,null,null
411,Adelaide,285,null,null
412,Shangrao,146,null,null
413,TorreAn,286,null,null
414,SrAnagar,287,null,null
415,BezwAda,218,null,null
416,Samara,288,null,null
417,Omsk,289,null,null
418,Newcastle,57,null,null
419,Yulin,70,null,null
420,Xianyang,68,null,null
421,Cagayan de Oro,290,null,null
422,Can ThAE≠,291,null,null
423,Barquisimeto,292,null,null
424,Helsinki,293,null,null
425,KazanaE,294,null,null
426,AurangAbAd,4,null,null
427,Calgary,295,null,null
428,Ciudad NezahualcAyotl,217,null,null
429,ZArich,296,null,null
430,Baoding,142,null,null
431,Zigong,65,null,null
432,Sharjah,297,null,null
433,Yerevan,298,null,null
434,Mogadishu,299,null,null
435,Tbilisi,300,null,null
436,Ankang,68,null,null
437,Huambo,301,null,null
438,Ikare,302,null,null
439,Belgrade,303,null,null
440,Salt Lake City,304,null,null
441,Bhilai,305,null,null
442,Jinhua,107,null,null
443,Chelyabinsk,306,null,null
444,Natal,307,null,null
445,Dushanbe,308,null,null
446,Copenhagen,309,null,null
447,Changwon,310,null,null
448,Zhuzhou,131,null,null
449,Suwon,311,null,null
450,Nashville,312,null,null
451,Vereeniging,87,null,null
452,Xiangyang,31,null,null
453,Memphis,312,null,null
454,Ulsan,313,null,null
455,Amman,169,null,null
456,Mizhou,104,null,null
457,Richmond,228,null,null
458,Dublin,314,null,null
459,Edmonton,295,null,null
460,SolApur,4,null,null
461,Rostov-na-Donu,315,null,null
462,Dnipro,316,null,null
463,Xining,317,null,null
464,Zhangjiakou,142,null,null
465,Lille,318,null,null
466,Ranchi,262,null,null
467,Gaziantep,319,null,null
468,Monrovia,320,null,null
469,SAEo LuA?s,321,null,null
470,Amsterdam,322,null,null
471,New Orleans,323,null,null
472,Guatemala City,324,null,null
473,Zhuhai,24,null,null
474,FlorianApolis,325,null,null
475,Port Elizabeth,326,null,null
476,Jiamusi,81,null,null
477,Port Harcourt,327,null,null
478,Raleigh,230,null,null
479,Ufa,328,null,null
480,Hengyang,131,null,null
481,Benxi,54,null,null
482,Louisville,329,null,null
483,Haifa,330,null,null
484,Medina,331,null,null
485,Bucaramanga,332,null,null
486,Maracay,333,null,null
487,Rotterdam,245,null,null
488,Homs,334,null,null
489,Cologne,196,null,null
490,Qinhuangdao,142,null,null
491,FAs,335,null,null
492,NaEDjamena,336,null,null
493,Tegucigalpa,337,null,null
494,Kingston,338,null,null
495,Nay Pyi Taw,339,null,null
496,Djibouti,340,null,null
497,Managua,341,null,null
498,Niamey,342,null,null
499,Tirana,343,null,null
500,Kathmandu,344,null,null
501,Ulaanbaatar,345,null,null
502,Kigali,346,null,null
503,Bishkek,347,null,null
504,Oslo,348,null,null
505,Bangui,349,null,null
506,Freetown,350,null,null
507,Islamabad,351,null,null
508,Cotonou,182,null,null
509,Vientiane,352,null,null
510,Riga,353,null,null
511,Muscat,354,null,null
512,Zagreb,355,null,null
513,Sarajevo,356,null,null
514,Chisinau,357,null,null
515,Lilongwe,358,null,null
516,Asmara,359,null,null
517,Abu Dhabi,360,null,null
518,Port Louis,361,null,null
519,Libreville,362,null,null
520,Manama,169,null,null
521,Vilnius,363,null,null
522,Skopje,364,null,null
523,Bloemfontein,365,null,null
524,Bratislava,366,null,null
525,Bissau,367,null,null
526,Tallinn,368,null,null
527,Wellington,369,null,null
528,Valletta,370,null,null
529,Maseru,371,null,null
530,Nur-Sultan,372,null,null
531,Bujumbura,373,null,null
532,Canberra,374,null,null
533,New Delhi,6,null,null
534,Ljubljana,375,null,null
535,Porto-Novo,376,null,null
536,Bandar Seri Begawan,377,null,null
537,Port of Spain,378,null,null
538,Port Moresby,379,null,null
539,Bern,380,null,null
540,Windhoek,381,null,null
541,Georgetown,382,null,null
542,Paramaribo,383,null,null
